Exp Date,Last,Change,Bid,Ask,Volume,Open Int,Strike,Last_put,Change_put,Bid_put,Ask_put,Volume_put,Open Int_put
Nov-15,14.94,2.15Ê,14.89,14.95,809,3478,572,10.8,-3.30Ê,10.74,10.8,713,62528
Nov-15,14.35,2.31Ê,14.23,14.28,289,4587,573,11.08,-3.32Ê,11.08,11.14,519,2282
Nov-15,13.44,1.86Ê,13.57,13.63,1253,4735,574,11.36,-3.27Ê,11.44,11.5,98,4024
Nov-15,12.93,2.06Ê,12.94,12.99,1957,7990,575,11.79,-3.31Ê,11.81,11.87,446,5114
Nov-15,12.18,2.08Ê,12.31,12.37,625,5927,576,12.37,-2.88Ê,12.2,12.26,142,2310
Nov-15,11.67,2.15Ê,11.71,11.76,606,3422,577,14.16,-1.94Ê,12.6,12.67,16,1114
Nov-15,11.05,1.83Ê,11.11,11.16,300,2705,578,14.53,-2.67Ê,13.02,13.08,33,776
Nov-15,10.44,1.79Ê,10.53,10.58,278,1713,579,13.8,-1.45Ê,13.45,13.53,33,131
Nov-15,9.99,1.77Ê,9.97,10.01,3442,46187,580,13.83,-4.21Ê,13.9,14.05,151,958
Nov-15,9.39,1.96Ê,9.42,9.46,221,1504,581,14.4,-3.58Ê,14.16,14.58,10,761
Nov-15,8.85,1.63Ê,8.89,8.93,284,1534,582,18,--,14.64,15.09,--,85
Nov-15,8.25,1.40Ê,8.37,8.42,389,1671,583,15.35,-4.31Ê,15.15,15.7,10,102
Nov-15,7.78,1.35Ê,7.87,7.92,254,1601,584,18.8,-0.96Ê,15.67,16.1,20,52
Nov-15,7.38,1.44Ê,7.39,7.43,982,16049,585,16.43,-4.18Ê,16.32,16.65,178,214
Nov-15,6.85,1.24Ê,6.93,6.97,324,1511,586,18.37,-3.20Ê,16.77,17.22,2,16
Nov-15,6.44,1.29Ê,6.49,6.53,307,1674,587,20.85,-1.98Ê,17.36,17.95,2,26
Nov-15,5.9,1.41Ê,6.06,6.1,335,1250,588,18.32,-4.32Ê,17.97,18.57,10,1094
Nov-15,5.71,1.21Ê,5.65,5.69,266,1571,589,19,-4.44Ê,18.7,19.02,5,1713
Nov-15,5.3,1.18Ê,5.27,5.3,1292,11731,590,19.49,-3.75Ê,19.08,19.88,196,4136
Nov-15,4.89,1.09Ê,4.89,4.93,370,2558,591,19.99,-4.90Ê,19.76,20.56,227,2015
Nov-15,4.56,1.05Ê,4.55,4.58,883,2478,592,22,-3.52Ê,20.45,21.27,405,2573
Nov-15,4.14,0.89Ê,4.21,4.24,350,1226,593,22.94,-2.88Ê,21.18,22.01,97,1654
Nov-15,3.91,0.93Ê,3.89,3.93,377,1197,594,24.17,-3.74Ê,21.93,22.77,179,1356
Nov-15,3.6,0.87Ê,3.6,3.63,512,6052,595,23.99,-4.71Ê,23,23.54,90,1411
Nov-15,3.29,0.79Ê,3.31,3.35,149,1526,596,25.74,-3.26Ê,23.49,24.35,92,474
Nov-15,3.05,0.76Ê,3.05,3.08,311,5818,597,26.52,--,24.31,25.17,--,115
Nov-15,2.81,0.72Ê,2.8,2.83,428,2404,598,32,--,25.34,25.89,--,138
Nov-15,2.56,0.64Ê,2.57,2.6,196,1961,599,29.64,--,26.02,26.89,--,10
Nov-15,2.38,0.65Ê,2.36,2.38,2867,14249,600,27.4,-5.40Ê,26.9,27.78,28,173
Nov-15,2.15,0.52Ê,2.15,2.18,195,1520,601,32.41,--,27.81,28.69,--,--
Nov-15,1.94,0.47Ê,1.97,1.99,259,1682,602,32.38,--,28.73,29.62,--,--
Nov-15,1.47,0.40Ê,1.48,1.51,1157,10920,605,34.17,-2.29Ê,31.61,32.51,6,--
Nov-15,0.9,0.25Ê,0.91,0.93,796,6994,610,37.5,-4.49Ê,36.6,37.5,6,5
Nov-15,0.56,0.18Ê,0.55,0.56,227,4576,615,45.64,-2.12Ê,41.6,42.5,4,--
Nov-15,0.33,0.08Ê,0.33,0.34,145,11116,620,53.52,--,46.6,47.51,--,--
Nov-15,0.22,0.07Ê,0.21,0.22,28,2663,625,52.4,-5.11Ê,51.6,52.51,2,2
Nov-15,0.15,0.03Ê,0.14,0.15,41,1589,630,57.42,-5.05Ê,56.6,57.51,5,--
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
